customer_rank,age,job,marital,education,housing,loan,contact,month,campaign,pdays,previous,poutcome,subscription_probability,predicted_subscription,campaign_priority
1,66,admin.,divorced,university.degree,yes,no,cellular,aug,3,6,2,success,0.9844014996397477,yes,High
2,37,admin.,married,university.degree,no,no,cellular,sep,2,6,2,success,0.9819649153317397,yes,High
3,48,unemployed,married,professional.course,yes,no,cellular,may,1,6,2,success,0.981211567537916,yes,High
4,76,retired,married,basic.4y,yes,no,cellular,may,2,6,2,success,0.9799336863869328,yes,High
5,33,admin.,married,university.degree,yes,no,cellular,aug,1,3,3,success,0.9797928688291337,yes,High
6,64,retired,married,university.degree,no,no,cellular,mar,1,3,2,success,0.979718797231389,yes,High
7,52,management,married,university.degree,yes,no,cellular,may,3,3,3,success,0.9794914908589878,yes,High
8,92,retired,married,unknown,yes,no,cellular,may,1,6,2,success,0.9788151866642475,yes,High
9,34,admin.,single,university.degree,no,no,cellular,mar,1,6,1,success,0.9785577665078279,yes,High
10,70,retired,divorced,basic.4y,no,no,cellular,jul,2,6,2,success,0.977444484120183,yes,High
11,59,retired,married,professional.course,yes,no,cellular,aug,2,3,2,success,0.976246601928108,yes,High
12,78,retired,divorced,basic.4y,yes,no,cellular,may,2,7,2,success,0.9758753283596461,yes,High
13,50,admin.,single,university.degree,no,no,cellular,aug,1,6,2,success,0.9757827700468759,yes,High
14,60,retired,married,university.degree,no,no,cellular,sep,2,6,1,success,0.9751666743627903,yes,High
15,41,unemployed,married,high.school,yes,yes,cellular,sep,1,6,1,success,0.9750678940844624,yes,High
16,29,admin.,single,high.school,yes,no,cellular,sep,1,6,2,success,0.9745064319355531,yes,High
17,78,retired,married,unknown,no,no,cellular,mar,1,6,2,success,0.9740837062171861,yes,High
18,40,technician,married,professional.course,yes,no,cellular,may,1,3,4,success,0.9737541715569268,yes,High
19,47,management,married,university.degree,yes,no,cellular,aug,3,3,2,success,0.9731027092611866,yes,High
20,92,retired,married,unknown,no,yes,cellular,aug,1,3,4,success,0.9726075741630699,yes,High
21,27,student,single,university.degree,no,no,cellular,aug,1,3,3,success,0.9715035551868004,yes,High
22,26,admin.,single,high.school,no,no,cellular,mar,2,6,1,success,0.9714533022733635,yes,High
23,83,retired,divorced,basic.4y,no,no,cellular,sep,1,9,3,success,0.9713273209359972,yes,High
24,92,retired,married,unknown,no,yes,cellular,aug,1,3,1,success,0.9712007339224831,yes,High
25,42,technician,married,professional.course,no,no,cellular,aug,1,6,2,success,0.9710885495040243,yes,High
