Feature,Importance
numeric__euribor3m,0.16392901622064815
numeric__nr.employed,0.16228889185567555
numeric__emp.var.rate,0.11386606979886184
numeric__cons.conf.idx,0.0708886920942248
numeric__pdays,0.05521407461073232
numeric__cons.price.idx,0.053832973572202826
categorical__poutcome_success,0.04551111543516562
numeric__age,0.036397922038743445
categorical__month_may,0.02751101685012779
categorical__contact_telephone,0.02292964861863817
categorical__contact_cellular,0.020158846686098436
numeric__campaign,0.019561964901090013
categorical__poutcome_nonexistent,0.018822429544219164
numeric__previous,0.01721809975075158
categorical__month_oct,0.010616941020207013
categorical__default_no,0.010431848152808683
categorical__default_unknown,0.008911074046689114
categorical__month_apr,0.007998399222698026
categorical__month_mar,0.0077100088850611415
categorical__poutcome_failure,0.00684097709873245
categorical__job_blue-collar,0.006175975638226477
categorical__day_of_week_mon,0.005833574279607872
categorical__day_of_week_fri,0.005345979726183485
categorical__marital_single,0.00507593110001798
categorical__education_university.degree,0.005058062190807788
categorical__day_of_week_thu,0.0049843819789471035
categorical__housing_no,0.004666404634915312
categorical__job_retired,0.004501867455932907
categorical__marital_married,0.004417323936343824
categorical__housing_yes,0.004386320230859324
categorical__month_jun,0.004312922516216166
categorical__education_basic.9y,0.003955571764842757
categorical__day_of_week_tue,0.003638102302843949
categorical__day_of_week_wed,0.003550234354568137
categorical__loan_yes,0.003534061297811118
categorical__education_high.school,0.0035236048101938157
categorical__job_admin.,0.0034688688528559174
categorical__loan_no,0.003365529516471093
categorical__job_technician,0.00296864449445714
categorical__job_services,0.00293051631258504
categorical__month_jul,0.002814162269379907
categorical__education_basic.4y,0.0025924855913465124
categorical__education_professional.course,0.0025610968899848104
categorical__marital_divorced,0.0025529183427365244
categorical__job_student,0.00254003465910382
categorical__month_nov,0.002354105412438896
categorical__job_management,0.002217449106253159
categorical__month_sep,0.0021871241571583097
categorical__month_aug,0.002102542607504822
categorical__education_basic.6y,0.0018660826430234748
categorical__education_unknown,0.0017382762472918027
categorical__job_entrepreneur,0.001543118180760319
categorical__job_self-employed,0.0014864999535379518
categorical__job_housemaid,0.001058936783797273
categorical__job_unemployed,0.0009732546187747987
categorical__loan_unknown,0.0009096989930862864
categorical__housing_unknown,0.0008585809757213528
categorical__job_unknown,0.0005800477188153852
categorical__month_dec,0.000468887750897221
categorical__marital_unknown,0.0002579315618688597
categorical__education_illiterate,2.8777384550961283e-06
categorical__default_yes,0.0
